"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1972,"F",27,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Never married","26 to 27","1972 to 1973"
1972,"M",28,"Middle Atlantic","Very happy","2 years of college","white","Working full time","Married","28 to 29","1972 to 1973"
1972,"M",22,"Middle Atlantic","Pretty happy","3 years of collage","white","Working part time","Never married","22 to 23","1972 to 1973"
1972,"F",61,"Middle Atlantic","Very happy","2 years of college","white","Keeping house","Married","60 to 61","1972 to 1973"
1972,"F",82,"Middle Atlantic","Not too happy","3 years of collage","white","Keeping house","Widowed","82 to 83","1972 to 1973"
1972,"M",22,"Middle Atlantic","Very happy","12th grade","white","Working part time","Never married","22 to 23","1972 to 1973"
1972,"F",30,"East North Central","Very happy","10th grade","white","Working full time","Married","30 to 31","1972 to 1973"
1972,"F",29,"East North Central","Very happy","12th grade","white","Working full time","Married","28 to 29","1972 to 1973"
1972,"M",60,"East North Central","Very happy","4th grade","white","Working part time","Married","60 to 61","1972 to 1973"
1972,"F",39,"East North Central","Very happy","4th grade","white","Keeping house","Married","38 to 39","1972 to 1973"
1972,"F",21,"East North Central","Pretty happy","9th grade","white","Keeping house","Married","20 to 21","1972 to 1973"
1972,"M",56,"East North Central","Pretty happy","7th grade","white","Other","Married","56 to 57","1972 to 1973"
1972,"M",72,"East North Central","Pretty happy","5th grade","white","Retired","Married","72 to 73","1972 to 1973"
1972,"M",61,"East North Central","Pretty happy","8th grade","white","Other","Married","60 to 61","1972 to 1973"
1972,"M",71,"East North Central","Pretty happy","8 or more years of college","white","Working full time","Divorced","70 to 71","1972 to 1973"
1972,"F",56,"East North Central","Not too happy","9th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Married","56 to 57","1972 to 1973"
1972,"F",71,"East North Central","Very happy","5th grade","white","Keeping house","Married","70 to 71","1972 to 1973"
1972,"M",48,"East North Central","Very happy","2 years of college","white","Working full time","Married","48 to 49","1972 to 1973"
1972,"F",43,"East North Central","Very happy","12th grade","white","Keeping house","Married","42 to 43","1972 to 1973"
1972,"F",61,"East North Central","Very happy","12th grade","white","Working full time","Never married","60 to 61","1972 to 1973"
1972,"M",70,"East North Central","Pretty happy","12th grade","white","Retired","Married","70 to 71","1972 to 1973"
1972,"F",48,"New England","Very happy","11th grade","white","Working full time","Sepreated","48 to 49","1972 to 1973"
1972,"F",34,"New England","Very happy","12th grade","white","Keeping house","Married","34 to 35","1972 to 1973"
1972,"M",19,"New England","Not too happy","12th grade","white","In school","Never married","18 to 19","1972 to 1973"
